sale_id,product_id,date,quantity_sold,unit_price
S001,P001,2026-07-06,4,3.50
S002,P002,2026-07-06,5,2.80
S003,P003,2026-07-07,3,2.20
S004,P007,2026-07-07,6,1.90
S005,P001,2026-07-08,3,3.50
S006,P013,2026-07-08,8,1.50
S007,P014,2026-07-09,14,4.00
S008,P002,2026-07-09,6,2.80
S009,P016,2026-07-10,4,5.50
S010,P006,2026-07-10,5,1.20
S011,P001,2026-07-11,4,3.50
S012,P008,2026-07-11,3,7.50
S013,P017,2026-07-12,4,2.10
S014,P013,2026-07-12,9,1.50
S015,P014,2026-07-13,15,4.00
S016,P002,2026-07-13,7,2.80
S017,P003,2026-07-14,4,2.20
S018,P007,2026-07-14,8,1.90
S019,P019,2026-07-15,5,2.30
S020,P013,2026-07-15,10,1.50
S021,P001,2026-07-16,5,3.50
S022,P014,2026-07-16,16,4.00
S023,P016,2026-07-17,3,5.50
S024,P002,2026-07-17,6,2.80
S025,P011,2026-07-18,4,3.20
S026,P008,2026-07-18,2,7.50
S027,P013,2026-07-19,11,1.50
S028,P014,2026-07-19,17,4.00
S029,P003,2026-07-20,3,2.20
S030,P001,2026-07-20,5,3.50
S031,P002,2026-07-21,7,2.80
S032,P007,2026-07-21,9,1.90
S033,P017,2026-07-22,3,2.10
S034,P019,2026-07-22,6,2.30
S035,P013,2026-07-23,10,1.50
S036,P014,2026-07-23,18,4.00
S037,P016,2026-07-24,4,5.50
S038,P001,2026-07-24,4,3.50
S039,P002,2026-07-25,6,2.80
S040,P006,2026-07-25,5,1.20
S041,P013,2026-07-26,12,1.50
S042,P014,2026-07-26,19,4.00
S043,P007,2026-07-27,7,1.90
S044,P003,2026-07-27,4,2.20
S045,P008,2026-07-28,2,7.50
S046,P016,2026-07-28,3,5.50
S047,P017,2026-07-29,5,2.10
S048,P013,2026-07-29,9,1.50
S049,P014,2026-07-30,20,4.00
S050,P001,2026-07-30,5,3.50
S051,P002,2026-07-31,7,2.80
S052,P007,2026-07-31,10,1.90
S053,P013,2026-08-01,11,1.50
S054,P014,2026-08-01,21,4.00
S055,P016,2026-08-01,4,5.50
S056,P001,2026-08-02,4,3.50
S057,P002,2026-08-02,6,2.80
S058,P003,2026-08-03,4,2.20
S059,P011,2026-08-03,5,3.20
S060,P013,2026-08-04,12,1.50
S061,P014,2026-08-04,22,4.00
S062,P007,2026-08-05,8,1.90
S063,P017,2026-08-05,4,2.10
S064,P002,2026-08-06,8,2.80
S065,P001,2026-08-06,5,3.50
S066,P014,2026-08-07,24,4.00
S067,P013,2026-08-07,13,1.50
S068,P016,2026-08-08,3,5.50
S069,P019,2026-08-08,5,2.30
S070,P004,2026-08-09,3,1.60
S071,P002,2026-08-09,9,2.80
S072,P007,2026-08-10,11,1.90
S073,P014,2026-08-10,25,4.00
S074,P001,2026-08-10,6,3.50
S075,P013,2026-08-11,14,1.50
S076,P002,2026-08-11,10,2.80
S077,P003,2026-08-12,3,2.20
S078,P016,2026-08-12,4,5.50
S079,P010,2026-08-13,1,9.00
S080,P011,2026-08-13,5,3.20
S081,P014,2026-08-13,27,4.00
S082,P008,2026-08-14,2,7.50
S083,P013,2026-08-14,13,1.50
S084,P002,2026-08-15,11,2.80
S085,P001,2026-08-15,5,3.50
S086,P007,2026-08-16,9,1.90
S087,P014,2026-08-16,28,4.00
S088,P017,2026-08-17,4,2.10
S089,P016,2026-08-17,3,5.50
S090,P002,2026-08-18,11,2.80
S091,P013,2026-08-18,14,1.50
S092,P014,2026-08-18,28,4.00
S093,P003,2026-08-19,4,2.20
S094,P001,2026-08-19,5,3.50
S095,P019,2026-08-20,6,2.30
S096,P014,2026-08-20,29,4.00
S097,P013,2026-08-21,15,1.50
S098,P002,2026-08-21,12,2.80
S099,P007,2026-08-22,10,1.90
S100,P016,2026-08-22,5,5.50
S101,P014,2026-08-23,29,4.00
S102,P001,2026-08-23,6,3.50
S103,P013,2026-08-24,14,1.50
S104,P002,2026-08-24,12,2.80
S105,P008,2026-08-25,3,7.50
S106,P014,2026-08-25,30,4.00
S107,P011,2026-08-26,6,3.20
S108,P017,2026-08-26,5,2.10
S109,P013,2026-08-27,15,1.50
S110,P001,2026-08-27,6,3.50
S111,P002,2026-08-27,13,2.80
S112,P014,2026-08-27,31,4.00
S113,P016,2026-08-28,4,5.50
S114,P007,2026-08-28,11,1.90
S115,P019,2026-08-29,7,2.30
S116,P014,2026-08-29,32,4.00
S117,P013,2026-08-29,16,1.50
S118,P002,2026-08-30,14,2.80
S119,P001,2026-08-30,7,3.50
S120,P014,2026-08-30,33,4.00
S121,P007,2026-08-31,12,1.90
S122,P013,2026-08-31,16,1.50
S123,P016,2026-08-31,4,5.50
S124,P014,2026-09-01,34,4.00
S125,P002,2026-09-01,15,2.80
S126,P001,2026-09-01,7,3.50
S127,P013,2026-09-02,17,1.50
S128,P014,2026-09-02,35,4.00
S129,P007,2026-09-02,12,1.90
S130,P008,2026-09-03,3,7.50
S131,P016,2026-09-03,5,5.50
S132,P014,2026-09-03,35,4.00
S133,P001,2026-09-04,7,3.50
S134,P013,2026-09-04,18,1.50
S135,P002,2026-09-04,15,2.80
